id,user_id,transaction_date,transaction_type,amount,subscription_tier,status
1,1,"2025-08-03 07:07:30",one_time,13.00,free,completed
2,1,"2025-09-18 20:29:55",mrr,0.00,free,pending
3,1,"2024-02-25 01:54:50",mrr,0.00,free,completed
4,1,"2025-10-24 00:47:38",mrr,0.00,free,completed
5,1,"2023-08-30 05:46:38",one_time,16.00,free,pending
6,2,"2025-02-07 00:56:35",mrr,29.00,starter,completed
7,2,"2025-03-02 17:35:14",one_time,287.00,starter,completed
8,2,"2025-08-06 11:52:43",refund,-16.00,starter,pending
9,2,"2025-08-20 12:24:40",refund,-14.00,starter,completed
10,2,"2025-06-06 22:36:05",mrr,29.00,starter,failed
11,2,"2025-04-02 04:27:00",one_time,442.00,starter,completed
12,2,"2025-08-09 21:59:14",one_time,289.00,starter,failed
13,2,"2025-07-29 03:06:07",mrr,29.00,starter,completed
14,3,"2025-04-16 11:34:08",one_time,403.00,enterprise,failed
15,3,"2025-07-09 09:59:47",mrr,299.00,enterprise,completed
16,3,"2025-09-26 22:47:21",mrr,299.00,enterprise,completed
17,3,"2025-05-28 16:36:02",mrr,299.00,enterprise,completed
18,3,"2025-10-10 08:59:58",one_time,485.00,enterprise,completed
19,3,"2025-11-10 10:40:29",mrr,299.00,enterprise,pending
20,4,"2025-11-25 03:55:28",mrr,99.00,professional,failed
21,4,"2025-11-19 13:06:59",one_time,326.00,professional,pending
22,4,"2025-04-09 14:24:40",mrr,99.00,professional,failed
23,5,"2024-04-24 20:40:44",one_time,405.00,professional,completed
24,5,"2025-10-29 15:59:28",one_time,398.00,professional,completed
25,5,"2024-05-14 13:50:14",refund,-48.00,professional,completed
26,6,"2025-11-07 10:15:48",mrr,99.00,professional,failed
27,6,"2025-11-21 14:52:37",refund,-35.00,professional,pending
28,6,"2025-11-16 06:56:52",mrr,99.00,professional,failed
29,7,"2024-10-27 21:36:38",mrr,99.00,professional,completed
30,8,"2023-07-25 15:07:00",mrr,0.00,free,completed
31,8,"2025-03-26 06:58:20",mrr,0.00,free,completed
32,8,"2024-01-29 15:19:05",one_time,33.00,free,pending
33,8,"2025-10-26 07:24:23",mrr,0.00,free,completed
34,8,"2023-10-31 06:30:51",mrr,0.00,free,failed
35,9,"2025-03-06 20:00:31",refund,-77.00,professional,completed
36,9,"2025-01-28 07:46:52",mrr,99.00,professional,completed
37,9,"2025-11-12 20:20:04",refund,-50.00,professional,pending
38,9,"2025-05-02 11:32:22",mrr,99.00,professional,completed
