id,user_id,metric_date,login_count,feature_usage,features_used_count,support_tickets_opened,support_tickets_resolved,session_duration_minutes
1,1,2025-10-05,47,"search",1,5,5,131.0
2,1,2024-05-27,21,"dashboard",1,2,0,23.0
3,1,2025-10-01,24,"api,analytics,analytics",3,5,1,164.0
4,1,2024-08-21,40,"dashboard,automation,notifications",3,3,2,124.0
5,2,2025-01-17,4,"dashboard,notifications,search,search,analytics",5,3,2,13.0
6,2,2023-12-08,3,"notifications,reports,reports,reports,reports",5,1,0,11.0
7,3,2025-02-05,5,"search,reports,search",3,1,1,24.0
8,3,2025-01-07,1,"collaboration,automation,notifications,api,notifications",5,3,0,20.0
9,4,2025-07-25,17,"dashboard,export,automation,analytics",4,5,3,21.0
10,4,2024-08-28,13,"dashboard,dashboard",2,0,0,35.0
11,4,2023-10-15,27,"dashboard,automation,notifications,api,notifications,collaboration",6,1,0,43.0
12,5,2025-11-19,38,"reports",1,5,5,175.0
13,5,2025-09-07,24,"export,search,export,export,analytics,notifications,api",7,3,0,169.0
14,6,2025-01-22,9,"collaboration,export",2,4,2,16.0
15,6,2025-03-06,26,"export,dashboard,dashboard",3,3,0,126.0
16,6,2024-07-20,44,"notifications,api,dashboard,analytics,search,analytics",6,2,0,55.0
17,6,2025-05-22,33,"api",1,4,0,83.0
18,6,2024-12-24,18,"automation,dashboard",2,3,1,157.0
19,7,2023-06-23,4,"search,collaboration",2,2,2,24.0
20,7,2023-09-18,0,"export,analytics,reports,integrations,notifications,api",6,4,0,9.0
21,7,2025-06-22,0,"collaboration,dashboard,export,dashboard",4,0,0,22.0
22,7,2025-06-10,3,"integrations,collaboration,automation,export,automation,search,search",7,5,2,21.0
23,8,2024-05-13,39,"export,api,api,export,notifications,collaboration,integrations",7,1,1,143.0
24,8,2025-06-25,7,"api,reports",2,5,3,144.0
25,8,2025-10-28,7,"dashboard",1,3,2,82.0
26,8,2025-02-13,18,"api,reports,notifications,reports,search",5,1,1,69.0
27,8,2024-12-01,5,"notifications",1,1,0,112.0
28,9,2025-08-12,42,"collaboration,collaboration,analytics,dashboard,analytics,automation,analytics",7,0,0,115.0
29,9,2025-02-18,6,"reports",1,0,0,103.0
30,9,2025-01-18,10,"api,analytics,notifications,api,collaboration,export,collaboration",7,4,3,96.0
31,9,2025-07-06,32,"notifications,api,export,integrations,export",5,2,1,18.0
32,9,2025-02-01,45,"search,export,dashboard,reports,integrations,analytics,reports",7,4,0,50.0
33,10,2025-11-30,35,"analytics,integrations,collaboration,export,api,api",6,2,0,32.0
34,10,2025-11-28,27,"api",1,3,0,112.0
35,10,2025-11-25,3,"search,integrations",2,0,0,99.0
36,10,2025-11-29,6,"search,notifications,notifications,analytics,analytics,integrations",6,5,4,40.0
37,10,2025-11-23,11,"notifications,collaboration,export,analytics",4,5,5,147.0
38,11,2024-08-21,3,"dashboard,integrations,automation,dashboard",4,2,1,20.0
39,11,2025-05-17,4,"search,search,automation,notifications,export,dashboard,api",7,5,5,19.0
40,12,2025-01-22,16,"api,dashboard,collaboration,integrations,dashboard,api,api",7,4,4,120.0
41,12,2025-03-28,20,"collaboration,reports,reports",3,4,4,78.0
42,13,2025-08-07,0,"automation,search",2,0,0,12.0
43,13,2025-06-23,0,"collaboration,api,api,search,export,collaboration",6,0,0,29.0
44,13,2025-06-18,3,"reports,collaboration,collaboration,search,automation,search",6,0,0,19.0
45,14,2025-02-05,4,"automation",1,0,0,20.0
46,14,2025-09-10,1,"reports,api,api,analytics",4,2,2,20.0
47,15,2025-11-23,49,"collaboration,dashboard,notifications",3,2,0,85.0
48,15,2025-11-18,1,"api,search",2,5,0,9.0
49,16,2025-11-07,7,"analytics,notifications,export,search,automation,search,collaboration",7,4,4,10.0
50,16,2025-11-09,49,"automation",1,3,1,40.0
51,16,2025-11-05,23,"api,notifications,export,automation,notifications",5,2,0,99.0
52,17,2025-08-22,36,"export",1,0,0,133.0
53,17,2025-10-30,45,"api,integrations,search,api,export,search",6,1,0,131.0
54,17,2025-07-12,41,"integrations,export,export,automation,reports",5,1,0,122.0
55,17,2025-06-04,20,"dashboard,api,analytics,dashboard,dashboard",5,5,2,81.0
56,18,2024-07-27,10,"integrations,notifications,search,dashboard,search",5,4,3,46.0
57,18,2025-01-05,2,"analytics,integrations,analytics,reports",4,2,0,29.0
58,18,2025-07-03,45,"export,dashboard,analytics,notifications,export,notifications",6,3,0,7.0
59,18,2024-01-04,8,"collaboration,analytics,integrations,integrations",4,5,1,86.0
60,18,2023-07-16,33,"dashboard,analytics,automation,automation,analytics",5,0,0,34.0
61,19,2025-10-14,3,"integrations,collaboration,export,api,collaboration",5,3,2,8.0
62,19,2025-08-21,0,"dashboard,dashboard,analytics",3,2,2,28.0
63,19,2025-10-09,5,"dashboard",1,1,1,11.0
64,19,2025-11-03,4,"reports,collaboration,reports,automation,integrations,reports",6,3,2,29.0
65,19,2025-09-17,1,"reports",1,0,0,9.0
66,20,2023-09-11,2,"reports,dashboard,analytics,search,integrations,notifications",6,4,3,67.0
67,20,2025-01-15,9,"dashboard,export,dashboard,analytics",4,3,0,92.0
68,20,2024-09-28,33,"search,analytics,automation,search,reports,automation",6,4,4,86.0
69,21,2025-11-19,19,"notifications,dashboard,analytics,analytics,integrations,collaboration,analytics",7,4,1,78.0
70,21,2025-11-29,19,"export,export,integrations,dashboard,notifications,notifications",6,5,2,162.0
71,21,2025-11-14,33,"dashboard,search,automation,automation,api,collaboration",6,0,0,12.0
72,22,2025-06-15,1,"notifications,integrations,dashboard,analytics,export",5,0,0,69.0
73,22,2025-11-30,16,"export,automation,analytics,integrations,integrations,dashboard,dashboard",7,2,1,117.0
74,22,2025-04-04,44,"api,export,export",3,0,0,50.0
75,23,2025-01-12,1,"notifications,export,dashboard,collaboration",4,2,0,3.0
76,23,2024-11-24,0,"api,collaboration,notifications",3,5,0,27.0
77,23,2024-08-17,4,"collaboration,search,integrations,api,notifications,analytics,search",7,4,4,29.0
78,24,2025-11-27,1,"notifications,search,notifications,export,analytics,automation",6,1,0,7.0
79,24,2025-11-23,4,"collaboration",1,4,2,28.0
80,25,2024-10-05,32,"dashboard",1,5,1,97.0
81,25,2024-10-29,10,"integrations,api,notifications",3,2,0,154.0
82,26,2025-05-31,16,"dashboard,automation,search,export",4,4,2,117.0
83,26,2025-04-30,28,"automation",1,3,0,20.0
84,26,2024-09-02,4,"api,collaboration,notifications,automation,notifications",5,2,0,150.0
85,26,2025-03-30,25,"reports",1,5,0,164.0
86,26,2024-07-09,20,"automation",1,0,0,148.0
87,26,2025-08-09,13,"collaboration,automation,dashboard,api,collaboration",5,0,0,130.0
88,27,2025-06-10,13,"collaboration,automation,analytics,analytics,automation",5,1,0,35.0
89,27,2025-06-10,31,"dashboard,notifications,api,analytics,collaboration,export",6,1,0,6.0
